Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
social-battery-low,,,,,,,Finish,Glossy,,,SOCIAL-BATTERY-LOW-GLOS,shopify,100,deny,manual,19,99,TRUE,TRUE,,,,
overthinking-club,Overthinking Club,"<p>Lifetime member badge. Meetings held nightly at 3 AM. Waterproof vinyl, 8cm.</p>",Posterverse,Sticker,"humor, stickers, Humor, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, New Launch, Original Design, Made in India",TRUE,Finish,Matte,,,OVERTHINKING-CLUB-MATT,shopify,100,deny,manual,29,149,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-overthinking.png,1,Overthinking Club — Posterverse,active
overthinking-club,,,,,,,Finish,Glossy,,,OVERTHINKING-CLUB-GLOS,shopify,100,deny,manual,29,149,TRUE,TRUE,,,,
overthinking-club,,,,,,,Finish,Holographic,,,OVERTHINKING-CLUB-HOLO,shopify,100,deny,manual,29,149,TRUE,TRUE,,,,
hustle-loading,Hustle Loading 81%,<p>Progress bar permanently stuck at almost-there. Keep grinding. 9cm die-cut vinyl.</p>,Posterverse,Sticker,"hustle, stickers, Hustle, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Original Design, Made in India",TRUE,Finish,Matte,,,HUSTLE-LOADING-MATT,shopify,100,deny,manual,19,99,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-hustle-loading.png,1,Hustle Loading 81% — Posterverse,active
hustle-loading,,,,,,,Finish,Glossy,,,HUSTLE-LOADING-GLOS,shopify,100,deny,manual,19,99,TRUE,TRUE,,,,
no-excuses-bolt,No Excuses Bolt,<p>A lightning bolt with zero patience for maybe-tomorrow. 8cm waterproof vinyl.</p>,Posterverse,Sticker,"hustle, stickers, Hustle, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Bestseller, Original Design, Made in India",TRUE,Finish,Matte,,,NO-EXCUSES-BOLT-MATT,shopify,100,deny,manual,19,99,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-no-excuses.png,1,No Excuses Bolt — Posterverse,active
no-excuses-bolt,,,,,,,Finish,Glossy,,,NO-EXCUSES-BOLT-GLOS,shopify,100,deny,manual,19,99,TRUE,TRUE,,,,
chai-first,Chai First.,"<p>Priorities, sorted. The cutting-chai glass that starts every great plan. 8cm vinyl.</p>",Posterverse,Sticker,"desi, stickers, Desi, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Bestseller, Original Design, Made in India",TRUE,Finish,Matte,,,CHAI-FIRST-MATT,shopify,100,deny,manual,19,99,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-chai-first.png,1,Chai First. — Posterverse,active
chai-first,,,,,,,Finish,Glossy,,,CHAI-FIRST-GLOS,shopify,100,deny,manual,19,99,TRUE,TRUE,,,,
jugaad-certified,100% Jugaad Certified,"<p>Official stamp of the Desi Engineering Department. If it works, it works. 8cm vinyl.</p>",Posterverse,Sticker,"desi, stickers, Desi, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, New Launch, Original Design, Made in India",TRUE,Finish,Matte,,,JUGAAD-CERTIFIED-MATT,shopify,100,deny,manual,19,99,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-jugaad.png,1,100% Jugaad Certified — Posterverse,active
jugaad-certified,,,,,,,Finish,Glossy,,,JUGAAD-CERTIFIED-GLOS,shopify,100,deny,manual,19,99,TRUE,TRUE,,,,
petrolhead-crest,Petrolhead Crest,"<p>Piston-and-shield crest for people who hear engines in their sleep. Helmet-safe vinyl, 9cm.</p>",Posterverse,Sticker,"cars, stickers, Cars & Bikes, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Original Design, Made in India",TRUE,Finish,Matte,,,PETROLHEAD-CREST-MATT,shopify,100,deny,manual,25,129,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-petrolhead.png,1,Petrolhead Crest — Posterverse,active
petrolhead-crest,,,,,,,Finish,Glossy,,,PETROLHEAD-CREST-GLOS,shopify,100,deny,manual,25,129,TRUE,TRUE,,,,
full-send-meter,Full Send Meter,"<p>Needle buried in the red, exactly where it belongs. Fuel-cap friendly vinyl, 8cm.</p>",Posterverse,Sticker,"cars, stickers, Cars & Bikes, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, New Launch, Original Design, Made in India",TRUE,Finish,Matte,,,FULL-SEND-METER-MATT,shopify,100,deny,manual,25,129,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-full-send.png,1,Full Send Meter — Posterverse,active
full-send-meter,,,,,,,Finish,Glossy,,,FULL-SEND-METER-GLOS,shopify,100,deny,manual,25,129,TRUE,TRUE,,,,
eat-sleep-respawn,Eat Sleep Respawn,"<p>The four food groups of every gamer. Controller-purple die-cut vinyl, 9cm.</p>",Posterverse,Sticker,"gaming, stickers, Gaming, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Bestseller, Original Design, Made in India",TRUE,Finish,Matte,,,EAT-SLEEP-RESPAWN-MATT,shopify,100,deny,manual,29,149,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-respawn.png,1,Eat Sleep Respawn — Posterverse,active
eat-sleep-respawn,,,,,,,Finish,Glossy,,,EAT-SLEEP-RESPAWN-GLOS,shopify,100,deny,manual,29,149,TRUE,TRUE,,,,
eat-sleep-respawn,,,,,,,Finish,Holographic,,,EAT-SLEEP-RESPAWN-HOLO,shopify,100,deny,manual,29,149,TRUE,TRUE,,,,
one-more-game,Just One More Game,"<p>(lies). The most repeated sentence in gaming history, now in sticker form. 8cm vinyl.</p>",Posterverse,Sticker,"gaming, stickers, Gaming, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Original Design, Made in India",TRUE,Finish,Matte,,,ONE-MORE-GAME-MATT,shopify,100,deny,manual,19,99,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-one-more-game.png,1,Just One More Game — Posterverse,active
one-more-game,,,,,,,Finish,Glossy,,,ONE-MORE-GAME-GLOS,shopify,100,deny,manual,19,99,TRUE,TRUE,,,,
works-on-my-machine,Works On My Machine,"<p>The developer's oldest defence, certified with a green tick. Laptop-grade vinyl, 9cm.</p>",Posterverse,Sticker,"tech, stickers, Tech & Code, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Bestseller, Original Design, Made in India",TRUE,Finish,Matte,,,WORKS-ON-MY-MACHINE-MATT,shopify,100,deny,manual,19,99,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-works-machine.png,1,Works On My Machine — Posterverse,active
works-on-my-machine,,,,,,,Finish,Glossy,,,WORKS-ON-MY-MACHINE-GLOS,shopify,100,deny,manual,19,99,TRUE,TRUE,,,,
404-motivation,404 Motivation Not Found,<p>Server error in browser-window styling. Refresh and try again tomorrow. 9cm vinyl.</p>,Posterverse,Sticker,"tech, stickers, Tech & Code, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Original Design, Made in India",TRUE,Finish,Matte,,,404-MOTIVATION-MATT,shopify,100,deny,manual,19,99,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-404.png,1,404 Motivation Not Found — Posterverse,active
404-motivation,,,,,,,Finish,Glossy,,,404-MOTIVATION-GLOS,shopify,100,deny,manual,19,99,TRUE,TRUE,,,,
rewind-the-vibe,Rewind The Vibe,<p>A pink cassette for people who miss album art and mean it. 9cm die-cut vinyl.</p>,Posterverse,Sticker,"music, stickers, Music, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, New Launch, Original Design, Made in India",TRUE,Finish,Matte,,,REWIND-THE-VIBE-MATT,shopify,100,deny,manual,19,99,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-cassette.png,1,Rewind The Vibe — Posterverse,active
rewind-the-vibe,,,,,,,Finish,Glossy,,,REWIND-THE-VIBE-GLOS,shopify,100,deny,manual,19,99,TRUE,TRUE,,,,
self-love-club,Self Love Club,"<p>Membership requirement: being kind to yourself first. Glossy heart vinyl, 8cm.</p>",Posterverse,Sticker,"love, stickers, Love, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Bestseller, Original Design, Made in India",TRUE,Finish,Glossy,,,SELF-LOVE-CLUB-GLOS,shopify,100,deny,manual,29,149,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-self-love.png,1,Self Love Club — Posterverse,active
self-love-club,,,,,,,Finish,Holographic,,,SELF-LOVE-CLUB-HOLO,shopify,100,deny,manual,29,149,TRUE,TRUE,,,,
need-more-space,I Need More Space,"<p>A rocket leaving orbit — relatable. Deep-space die-cut vinyl, 8cm round.</p>",Posterverse,Sticker,"space, stickers, Space, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Original Design, Made in India",TRUE,Finish,Matte,,,NEED-MORE-SPACE-MATT,shopify,100,deny,manual,29,149,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-need-space.png,1,I Need More Space — Posterverse,active
need-more-space,,,,,,,Finish,Glossy,,,NEED-MORE-SPACE-GLOS,shopify,100,deny,manual,29,149,TRUE,TRUE,,,,
need-more-space,,,,,,,Finish,Holographic,,,NEED-MORE-SPACE-HOLO,shopify,100,deny,manual,29,149,TRUE,TRUE,,,,
powered-by-pizza,Powered By Pizza,"<p>The official energy source of late nights and good decisions. Grease-proof vinyl, 9cm.</p>",Posterverse,Sticker,"food, stickers, Food, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Original Design, Made in India",TRUE,Finish,Matte,,,POWERED-BY-PIZZA-MATT,shopify,100,deny,manual,19,99,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-pizza.png,1,Powered By Pizza — Posterverse,active
powered-by-pizza,,,,,,,Finish,Glossy,,,POWERED-BY-PIZZA-GLOS,shopify,100,deny,manual,19,99,TRUE,TRUE,,,,
caution-big-ideas,Caution: Big Ideas,"<p>Hazard-sign styling for dangerously creative minds. Yellow diamond vinyl, 8cm.</p>",Posterverse,Sticker,"warning, stickers, Warning Signs, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, New Launch, Original Design, Made in India",TRUE,Finish,Matte,,,CAUTION-BIG-IDEAS-MATT,shopify,100,deny,manual,19,99,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-big-ideas.png,1,Caution: Big Ideas — Posterverse,active
caution-big-ideas,,,,,,,Finish,Glossy,,,CAUTION-BIG-IDEAS-GLOS,shopify,100,deny,manual,19,99,TRUE,TRUE,,,,
professional-cat-person,Professional Cat Person,"<p>Qualified, experienced, permanently covered in fur. Scratch-proof vinyl, 8cm round.</p>",Posterverse,Sticker,"animals, stickers, Animals, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Original Design, Made in India",TRUE,Finish,Matte,,,PROFESSIONAL-CAT-PER-MATT,shopify,100,deny,manual,19,99,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-cat-person.png,1,Professional Cat Person — Posterverse,active
professional-cat-person,,,,,,,Finish,Glossy,,,PROFESSIONAL-CAT-PER-GLOS,shopify,100,deny,manual,19,99,TRUE,TRUE,,,,
mystery-pack,Mystery Pack — 25 Stickers,"<p>25 assorted stickers from across the verse, sealed in a surprise pack. No duplicates, no boring ones. Best value in the store.</p>",Posterverse,Sticker,"mystery, stickers, Mystery, Laptop Sticker, Notebook Sticker, Phone Sticker, Water Bottle Sticker, Vinyl Sticker, Bestseller, Original Design, Made in India",TRUE,Pack,25 stickers,,,MYSTERY-PACK-25ST,shopify,100,deny,manual,299,999,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/st-mystery-box.png,1,Mystery Pack — 25 Stickers — Posterverse,active
mystery-pack,,,,,,,Pack,50 stickers,,,MYSTERY-PACK-50ST,shopify,100,deny,manual,299,999,TRUE,TRUE,,,,
shape-study-duo,Shape Study Duo,"<p>A matched pair of bold abstract art prints in electric orange, violet and teal. Printed on 300 GSM museum-grade matte paper with rich, archival inks.</p>",Posterverse,Poster,"posters, Wall Poster, Room Decor, Wall Art, Bestseller, Original Design, Made in India",TRUE,Size,A4,Frame,Unframed,SHAPE-STUDY-DUO-A4-UNFR,shopify,100,deny,manual,599,899,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/cat-posters.webp,1,Shape Study Duo — Posterverse,active
shape-study-duo,,,,,,,Size,A4,Frame,Black frame,SHAPE-STUDY-DUO-A4-BLAC,shopify,100,deny,manual,599,899,TRUE,TRUE,,,,
shape-study-duo,,,,,,,Size,A3,Frame,Unframed,SHAPE-STUDY-DUO-A3-UNFR,shopify,100,deny,manual,599,899,TRUE,TRUE,,,,
shape-study-duo,,,,,,,Size,A3,Frame,Black frame,SHAPE-STUDY-DUO-A3-BLAC,shopify,100,deny,manual,599,899,TRUE,TRUE,,,,
shape-study-duo,,,,,,,Size,A2,Frame,Unframed,SHAPE-STUDY-DUO-A2-UNFR,shopify,100,deny,manual,599,899,TRUE,TRUE,,,,
shape-study-duo,,,,,,,Size,A2,Frame,Black frame,SHAPE-STUDY-DUO-A2-BLAC,shopify,100,deny,manual,599,899,TRUE,TRUE,,,,
abstract-flow,Abstract Flow,<p>Matisse-inspired organic cutout shapes that make any wall feel like a gallery. Fade-resistant pigment print with a soft matte finish.</p>,Posterverse,Poster,"posters, Wall Poster, Room Decor, Wall Art, New Launch, Original Design, Made in India",TRUE,Size,A4,Frame,Unframed,ABSTRACT-FLOW-A4-UNFR,shopify,100,deny,manual,399,599,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/p-poster-abstract.png,1,Abstract Flow — Posterverse,active
abstract-flow,,,,,,,Size,A4,Frame,Black frame,ABSTRACT-FLOW-A4-BLAC,shopify,100,deny,manual,399,599,TRUE,TRUE,,,,
abstract-flow,,,,,,,Size,A3,Frame,Unframed,ABSTRACT-FLOW-A3-UNFR,shopify,100,deny,manual,399,599,TRUE,TRUE,,,,
abstract-flow,,,,,,,Size,A3,Frame,Black frame,ABSTRACT-FLOW-A3-BLAC,shopify,100,deny,manual,399,599,TRUE,TRUE,,,,
abstract-flow,,,,,,,Size,A2,Frame,Unframed,ABSTRACT-FLOW-A2-UNFR,shopify,100,deny,manual,399,599,TRUE,TRUE,,,,
abstract-flow,,,,,,,Size,A2,Frame,Black frame,ABSTRACT-FLOW-A2-BLAC,shopify,100,deny,manual,399,599,TRUE,TRUE,,,,
sunset-drive,Sunset Drive,"<p>Retro gradient sun over minimal horizon lines — pure golden-hour energy for your room. 300 GSM matte art paper, ships in a rigid tube.</p>",Posterverse,Poster,"posters, Wall Poster, Room Decor, Wall Art, Original Design, Made in India",TRUE,Size,A4,Frame,Unframed,SUNSET-DRIVE-A4-UNFR,shopify,100,deny,manual,449,649,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/p-poster-sunset.png,1,Sunset Drive — Posterverse,active
sunset-drive,,,,,,,Size,A4,Frame,Black frame,SUNSET-DRIVE-A4-BLAC,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
sunset-drive,,,,,,,Size,A3,Frame,Unframed,SUNSET-DRIVE-A3-UNFR,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
sunset-drive,,,,,,,Size,A3,Frame,Black frame,SUNSET-DRIVE-A3-BLAC,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
sunset-drive,,,,,,,Size,A2,Frame,Unframed,SUNSET-DRIVE-A2-UNFR,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
sunset-drive,,,,,,,Size,A2,Frame,Black frame,SUNSET-DRIVE-A2-BLAC,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
bauhaus-beat,Bauhaus Beat,"<p>Geometric rhythm inspired by the Bauhaus masters — circles, arcs and grids in perfect balance. A statement piece for studios and workspaces.</p>",Posterverse,Poster,"posters, Wall Poster, Room Decor, Wall Art, Original Design, Made in India",TRUE,Size,A4,Frame,Unframed,BAUHAUS-BEAT-A4-UNFR,shopify,100,deny,manual,499,749,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/p-poster-bauhaus.png,1,Bauhaus Beat — Posterverse,active
bauhaus-beat,,,,,,,Size,A4,Frame,Black frame,BAUHAUS-BEAT-A4-BLAC,shopify,100,deny,manual,499,749,TRUE,TRUE,,,,
bauhaus-beat,,,,,,,Size,A3,Frame,Unframed,BAUHAUS-BEAT-A3-UNFR,shopify,100,deny,manual,499,749,TRUE,TRUE,,,,
bauhaus-beat,,,,,,,Size,A3,Frame,Black frame,BAUHAUS-BEAT-A3-BLAC,shopify,100,deny,manual,499,749,TRUE,TRUE,,,,
bauhaus-beat,,,,,,,Size,A2,Frame,Unframed,BAUHAUS-BEAT-A2-UNFR,shopify,100,deny,manual,499,749,TRUE,TRUE,,,,
bauhaus-beat,,,,,,,Size,A2,Frame,Black frame,BAUHAUS-BEAT-A2-BLAC,shopify,100,deny,manual,499,749,TRUE,TRUE,,,,
botanical-notes-set,Botanical Notes Set,<p>Six hand-illustrated botanical greeting cards with kraft envelopes. Thick 350 GSM textured cardstock that feels as premium as it looks.</p>,Posterverse,Greeting Card,"cards, Greeting Card, Gift Card, Stationery, Bestseller, Original Design, Made in India",TRUE,Pack,Set of 6,,,BOTANICAL-NOTES-SET-SETO,shopify,100,deny,manual,329,449,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/cat-cards.webp,1,Botanical Notes Set — Posterverse,active
botanical-notes-set,,,,,,,Pack,Set of 12,,,BOTANICAL-NOTES-SET-SETO,shopify,100,deny,manual,329,449,TRUE,TRUE,,,,
birthday-blast-cards,Birthday Blast Cards,"<p>Confetti, candles and colour — birthday cards that actually feel like a celebration. Blank inside for your own words, envelope included.</p>",Posterverse,Greeting Card,"cards, Greeting Card, Gift Card, Stationery, New Launch, Original Design, Made in India",TRUE,Pack,Set of 4,,,BIRTHDAY-BLAST-CARDS-SETO,shopify,100,deny,manual,279,399,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/p-card-birthday.png,1,Birthday Blast Cards — Posterverse,active
birthday-blast-cards,,,,,,,Pack,Set of 8,,,BIRTHDAY-BLAST-CARDS-SETO,shopify,100,deny,manual,279,399,TRUE,TRUE,,,,
minimal-lines-set,Minimal Lines Set,"<p>Single-stroke line art cards for people who say more with less. Elegant, gender-neutral designs for every occasion.</p>",Posterverse,Greeting Card,"cards, Greeting Card, Gift Card, Stationery, Original Design, Made in India",TRUE,Pack,Set of 6,,,MINIMAL-LINES-SET-SETO,shopify,100,deny,manual,299,429,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/p-card-minimal.png,1,Minimal Lines Set — Posterverse,active
minimal-lines-set,,,,,,,Pack,Set of 12,,,MINIMAL-LINES-SET-SETO,shopify,100,deny,manual,299,429,TRUE,TRUE,,,,
artisan-jar-labels,Artisan Jar Labels,"<p>Waterproof, oil-resistant custom labels for jars and bottles. Upload your logo after checkout — we colour-match, print and ship within 72 hours. 50 labels per roll.</p>",Posterverse,Brand Label,"labels, Product Label, Packaging Label, Small Business, Bestseller, Original Design, Made in India",TRUE,Material,Matte paper,Size,50mm round,ARTISAN-JAR-LABELS-MATT-50MM,shopify,100,deny,manual,449,649,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/cat-labels.webp,1,Artisan Jar Labels — Posterverse,active
artisan-jar-labels,,,,,,,Material,Matte paper,Size,70x40mm,ARTISAN-JAR-LABELS-MATT-70X4,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
artisan-jar-labels,,,,,,,Material,Matte paper,Size,Custom,ARTISAN-JAR-LABELS-MATT-CUST,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
artisan-jar-labels,,,,,,,Material,Waterproof vinyl,Size,50mm round,ARTISAN-JAR-LABELS-WATE-50MM,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
artisan-jar-labels,,,,,,,Material,Waterproof vinyl,Size,70x40mm,ARTISAN-JAR-LABELS-WATE-70X4,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
artisan-jar-labels,,,,,,,Material,Waterproof vinyl,Size,Custom,ARTISAN-JAR-LABELS-WATE-CUST,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
artisan-jar-labels,,,,,,,Material,Kraft,Size,50mm round,ARTISAN-JAR-LABELS-KRAF-50MM,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
artisan-jar-labels,,,,,,,Material,Kraft,Size,70x40mm,ARTISAN-JAR-LABELS-KRAF-70X4,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
artisan-jar-labels,,,,,,,Material,Kraft,Size,Custom,ARTISAN-JAR-LABELS-KRAF-CUST,shopify,100,deny,manual,449,649,TRUE,TRUE,,,,
candle-co-labels,Candle Co. Labels,<p>Heat-resistant premium labels made for candle brands — clean minimal layouts with your brand name front and centre. 50 labels per roll.</p>,Posterverse,Brand Label,"labels, Product Label, Packaging Label, Small Business, New Launch, Original Design, Made in India",TRUE,Material,Matte paper,Size,60mm round,CANDLE-CO-LABELS-MATT-60MM,shopify,100,deny,manual,499,699,TRUE,TRUE,https://raw.githubusercontent.com/kartik1605/posterverse/main/assets/img/products-png/p-label-candle.png,1,Candle Co. Labels — Posterverse,active
candle-co-labels,,,,,,,Material,Matte paper,Size,80x50mm,CANDLE-CO-LABELS-MATT-80X5,shopify,100,deny,manual,499,699,TRUE,TRUE,,,,
candle-co-labels,,,,,,,Material,Matte paper,Size,Custom,CANDLE-CO-LABELS-MATT-CUST,shopify,100,deny,manual,499,699,TRUE,TRUE,,,,
candle-co-labels,,,,,,,Material,Waterproof vinyl,Size,60mm round,CANDLE-CO-LABELS-WATE-60MM,shopify,100,deny,manual,499,699,TRUE,TRUE,,,,
candle-co-labels,,,,,,,Material,Waterproof vinyl,Size,80x50mm,CANDLE-CO-LABELS-WATE-80X5,shopify,100,deny,manual,499,699,TRUE,TRUE,,,,
candle-co-labels,,,,,,,Material,Waterproof vinyl,Size,Custom,CANDLE-CO-LABELS-WATE-CUST,shopify,100,deny,manual,499,699,TRUE,TRUE,,,,
